ApprovalDate,Name,City,State,Zip,Bank,BankState,Term,NoEmp,RevLineCr,GrAppv,SBA_Appv
2014-01-03,"Sudol Paving & Excavation, Inc",Danville,PA,17821,MANUFACTURERS & TRADERS TR CO,NY,6,11,N,"$40,000.00 ","$20,000.00 "
2014-01-06,"JDK Energy, LLC",WINDSOR,CO,80550,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,Y,"$20,000.00 ","$10,000.00 "
2014-01-06,"The Wine Seller, Inc.",RIDGEWOOD,NJ,7450,NOAH BANK,NJ,120,9,N,"$350,000.00 ","$262,500.00 "
2014-01-06,"K.G.C. Technologies, LLC",San Diego,CA,92123,CALIFORNIA BANK & TRUST,CA,60,7,N,"$17,000.00 ","$8,500.00 "
2014-01-06,SAVOREE LLC,WINTER GARDEN,FL,34787,JPMORGAN CHASE BANK NATL ASSOC,IL,84,2,N,"$25,000.00 ","$12,500.00 "
2014-01-07,WARAXA LLC,WEST SALEM,WI,54669,MERCHANTS BANK NATL ASSOC,MN,6,15,Y,"$350,000.00 ","$262,500.00 "
2014-01-07,Tade Plumbing Inc.,WICHITA,KS,67211,"UMB BANK, NATIONAL ASSOCIATION",MO,15,23,N,"$10,966.00 ","$5,483.00 "
2014-01-08,"BISSELL PAINTING, INC.",Jenison,MI,49428,THE HUNTINGTON NATIONAL BANK,OH,60,4,N,"$12,700.00 ","$6,350.00 "
2014-01-08,Drew Corporation,CENTER LOVELL,ME,4016,NORWAY SAVINGS BANK,ME,24,10,N,"$25,500.00 ","$12,750.00 "
2014-01-09,Nelson Specialized Investigati,IRVINE,CA,92620,JPMORGAN CHASE BANK NATL ASSOC,IL,84,3,Y,"$50,000.00 ","$25,000.00 "
2014-01-09,"Amulet Manufacturing Company,",RATHDRUM,ID,83858,AMERICANWEST BANK,WA,87,14,N,"$150,000.00 ","$127,500.00 "
2014-01-10,"John Kenyon Trucking, Inc.",STANLEY,NY,14561,FIVE STAR BANK,NY,12,9,N,"$20,000.00 ","$10,000.00 "
2014-01-10,Drew Corporation,CENTER LOVELL,ME,4016,NORWAY SAVINGS BANK,ME,6,10,N,"$50,000.00 ","$25,000.00 "
2014-01-10,"KOI FUSION, INC.",PORTLAND,OR,97224,JPMORGAN CHASE BANK NATL ASSOC,IL,84,50,N,"$25,000.00 ","$12,500.00 "
2014-01-13,Timothy E Esken,Pittsburgh,PA,15236,FIRST NIAGARA BANK NATL ASSOC,NY,60,1,Y,"$130,000.00 ","$65,000.00 "
2014-01-13,RELIANT FAMILY HEALTH INC,MAYNARDVILLE,TN,37807,COMMERCIAL BANK,TN,72,4,Y,"$25,000.00 ","$12,500.00 "
2014-01-13,Gosta Frantz,Gibsonia,PA,15044,FIRST NIAGARA BANK NATL ASSOC,NY,60,1,Y,"$50,000.00 ","$25,000.00 "
2014-01-14,"BRIDGE REPS, LLC",NEW YORK,NY,10014,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,Y,"$25,000.00 ","$12,500.00 "
2014-01-15,"No Coast Reserve, Inc",BLOOMINGTON,IN,47408,OLD NATIONAL BANK,IN,90,0,N,"$195,000.00 ","$146,250.00 "
2014-01-15,Timothy W Hoover II dba Timoth,London,OH,43140,THE HUNTINGTON NATIONAL BANK,OH,60,0,N,"$17,400.00 ","$8,700.00 "
2014-01-16,"Paul Bebble & Associates, Inc.",JUPITER,FL,33458,JPMORGAN CHASE BANK NATL ASSOC,IL,60,4,N,"$17,900.00 ","$8,950.00 "
2014-01-16,"Pat Alaska, LLC",Pataskala,OH,43062,THE HUNTINGTON NATIONAL BANK,OH,60,0,Y,"$20,000.00 ","$10,000.00 "
2014-01-17,Timmaj Inc.,DES PLAINES,IL,60018,JPMORGAN CHASE BANK NATL ASSOC,IL,72,2,N,"$42,500.00 ","$21,250.00 "
2014-01-20,"Pinnacle Pizza, LLC",Franklin,TN,37067,AMER BUS. LENDING INC.,TX,123,2,N,"$312,000.00 ","$234,000.00 "
2014-01-21,TOPLINE COUNTERS LLC,SUMNER,WA,98390,CELTIC BANK CORPORATION,UT,120,55,N,"$150,000.00 ","$135,000.00 "
2014-01-21,D K Marks LLC,ELMIRA,NY,14901,ELMIRA SAVINGS BANK,NY,3,21,N,"$25,000.00 ","$12,500.00 "
2014-01-21,OLD DAWG INC,NASHVILLE,TN,37214,U.S. BANK NATIONAL ASSOCIATION,OH,24,10,N,"$30,000.00 ","$15,000.00 "
2014-01-22,Michael Correll dba Red Eye Ex,Newark,OH,43055,THE HUNTINGTON NATIONAL BANK,OH,60,0,Y,"$50,000.00 ","$25,000.00 "
2014-01-22,"MEA TV & Radio, LLC",SOUTHFIELD,MI,48034,CELTIC BANK CORPORATION,UT,120,10,N,"$100,000.00 ","$85,000.00 "
2014-01-22,"J A Oilfield Rentals, Inc.",ENID,OK,73703,CENTRAL NATL BK & TR CO OF ENI,OK,36,2,N,"$162,900.00 ","$81,450.00 "
2014-01-22,"NEW WAVE SUBS, LLC",RIVERTON,UT,84065,ZIONS FIRST NATIONAL BANK,UT,66,7,N,"$15,000.00 ","$7,500.00 "
2014-01-23,"Darden Enterprises, LLC",KELLER,TX,76248,JPMORGAN CHASE BANK NATL ASSOC,IL,84,3,Y,"$65,000.00 ","$32,500.00 "
2014-01-23,"Virginia Pain Solutions, LLC",MECHANICSVILLE,VA,23116,EVB,VA,13,10,Y,"$20,000.00 ","$10,000.00 "
2014-01-24,Schauls Gas Inc.,DURAND,WI,54736,SECURITY FINANCIAL BANK,WI,9,12,N,"$150,000.00 ","$75,000.00 "
2014-01-27,PROLIFT EQUIPMENT INC.,DALLAS,TX,75229,JPMORGAN CHASE BANK NATL ASSOC,IL,84,7,Y,"$150,000.00 ","$75,000.00 "
2014-01-28,"Cohen & Associates, P.C.",Salem,MA,1970,EASTERN BANK,MA,60,15,N,"$70,000.00 ","$35,000.00 "
2014-01-30,THE DOUGHNUT HOLE LLC,BURNS,OR,97720,U.S. BANK NATIONAL ASSOCIATION,OH,84,3,Y,"$10,000.00 ","$5,000.00 "
2014-01-31,Mariano Painting & Wallcoverin,AIEA,HI,96701,"AMERICAN SAVINGS BANK, FSB",HI,6,3,N,"$75,000.00 ","$37,500.00 "
2014-01-31,TS CONSTRUCTION,RIVERTON,WY,82501,U.S. BANK NATIONAL ASSOCIATION,OH,84,1,Y,"$20,000.00 ","$10,000.00 "
2014-02-04,"T & D Real Estate Holdings, LL",FORT KENT,ME,4743,NORSTATE FCU,ME,60,2,N,"$17,000.00 ","$8,500.00 "
2014-02-04,Oktyabr Rojkov dba Oktyabr Roj,Southfield,MI,48034,THE HUNTINGTON NATIONAL BANK,OH,60,2,N,"$51,300.00 ","$25,650.00 "
2014-02-04,"Elan Express, LLC",Strongsville,OH,44136,THE HUNTINGTON NATIONAL BANK,OH,36,0,N,"$9,400.00 ","$4,700.00 "
2014-02-05,"East Washington Liquor, Inc",MADISON,WI,53714,BANK OF LAKE MILLS,WI,84,4,N,"$80,000.00 ","$40,000.00 "
2014-02-07,Pao Thao,Pierce City,MO,65723,FIRST FINANCIAL BANK,AR,12,2,N,"$23,800.00 ","$11,900.00 "
2014-02-07,"MARIA ZAGORSKI, LLC",Monroe,MI,48161,THE HUNTINGTON NATIONAL BANK,OH,60,0,Y,"$25,000.00 ","$12,500.00 "
2014-02-07,INFOTECH HEALTHCARE LLC,FRANKLIN,TN,37064,U.S. BANK NATIONAL ASSOCIATION,OH,84,3,Y,"$26,000.00 ","$13,000.00 "
2014-02-07,Malakai Sparks Realty,HUNTINGTON BEACH,CA,92648,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,N,"$10,000.00 ","$5,000.00 "
2014-02-10,Advanced Medical Billing & Man,Elkins Park,PA,19027,"TD BANK, NATIONAL ASSOCIATION",DE,84,12,Y,"$25,000.00 ","$12,500.00 "
2014-02-10,"Apex Mechanical, Inc",SAN JOSE,CA,95131,WELLS FARGO BANK NATL ASSOC,SD,120,8,N,"$246,400.00 ","$184,800.00 "
2014-02-11,The Challenge Machinery Compan,MUSKEGON,MI,49441,JPMORGAN CHASE BANK NATL ASSOC,IL,66,33,N,"$70,100.00 ","$35,050.00 "
2014-02-12,TENAFLY READING TOWN INC,TENAFLY,NJ,7670,JPMORGAN CHASE BANK NATL ASSOC,IL,84,5,Y,"$25,000.00 ","$12,500.00 "
2014-02-12,"HealthStyles Holding, LLC",DENVER,CO,80204,U.S. BANK NATIONAL ASSOCIATION,OH,84,37,Y,"$200,000.00 ","$100,000.00 "
